	Year	Team and Location	FT/Game	Wins	Loss	Win%	Attendance
0	2009	Boston Celtics	25.3048780488	61	21	74.3902439024	18624
1	2009	Philadelphia 76ers	27.0243902439	41	41	50.0	15802
2	2009	New Jersey Nets	24.1463414634	34	48	41.4634146341	15147
3	2009	Toronto Raptors	22.6951219512	33	49	40.243902439	18773
4	2009	New York Knicks	23.1707317073	34	48	41.4634146341	19287
5	2009	Cleveland Cavaliers	24.5365853659	65	17	79.2682926829	20010
6	2009	Chicago Bulls	25.0243902439	40	42	48.7804878049	21197
7	2009	Detroit Pistons	22.5487804878	40	42	48.7804878049	21877
8	2009	Indiana Pacers	23.0487804878	38	44	46.3414634146	14182
9	2009	Milwaukee Bucks	25.2073170732	38	44	46.3414634146	15389
10	2009	Orlando Magic	27.4756097561	59	23	71.9512195122	17043
11	2009	Atlanta Hawks	25.4268292683	46	36	56.0975609756	16748
12	2009	Miami Heat	22.8170731707	42	40	51.2195121951	18229
13	2009	Charlotte Bobcats	23.9634146341	37	45	45.1219512195	14526
14	2009	New Orleans Hornets	22.3536585366	46	36	56.0975609756	14526
15	2009	Washington Wizards	23.756097561	21	61	25.6097560976	16612
16	2009	Denver Nuggets	30.3292682927	50	32	60.9756097561	17223
17	2009	Portland Trail Blazers	24.243902439	56	26	68.2926829268	20524
18	2009	Utah Jazz	28.6829268293	48	34	58.5365853659	19903
19	2009	Minnesota Timberwolves	23.8658536585	27	55	32.9268292683	14505
20	2009	Oklahoma City Thunder	25.2317073171	24	58	29.2682926829	18693
21	2009	Los Angeles Lakers	25.4512195122	61	21	74.3902439024	18997
22	2009	Phoenix Suns	27.4512195122	46	36	56.0975609756	18422
23	2009	Golden State Warriors	29.1707317073	31	51	37.8048780488	18942
24	2009	Los Angeles Clippers	22.4268292683	18	64	21.9512195122	16170
25	2009	Sacramento Kings	25.6951219512	19	63	23.1707317073	12571
26	2009	San Antonio Spurs	20.012195122	52	30	63.4146341463	18269
27	2009	Houston Rockets	23.2073170732	53	29	64.6341463415	17482
28	2009	Dallas Mavericks	22.5853658537	47	35	57.3170731707	20042
29	2009	Memphis Grizzlies	25.3292682927	26	56	31.7073170732	12745
30	2010	Boston Celtics	25.487804878	52	30	63.4146341463	18169
31	2010	Toronto Raptors	25.8292682927	36	46	43.9024390244	17897
32	2010	New York Knicks	21.4512195122	31	51	37.8048780488	19501
33	2010	Philadelphia 76ers	22.0487804878	30	52	36.5853658537	14224
34	2010	New Jersey Nets	24.5731707317	17	65	20.7317073171	13103
35	2010	Cleveland Cavaliers	26.5853658537	59	23	71.9512195122	20562
36	2010	Milwaukee Bucks	20.4268292683	46	36	56.0975609756	15108
37	2010	Chicago Bulls	23.9268292683	36	46	43.9024390244	20725
38	2010	Indiana Pacers	24.6219512195	33	49	40.243902439	14202
39	2010	Detroit Pistons	24.3658536585	26	56	31.7073170732	18751
40	2010	Orlando Magic	26.5365853659	61	21	74.3902439024	17461
41	2010	Atlanta Hawks	23.3414634146	54	28	65.8536585366	16545
42	2010	Miami Heat	23.5487804878	48	34	58.5365853659	17730
43	2010	Charlotte Bobcats	26.5853658537	45	37	54.8780487805	15824
44	2010	New Orleans Hornets	20.256097561	34	48	41.4634146341	15824
45	2010	Washington Wizards	23.1097560976	28	54	34.1463414634	16204
46	2010	Denver Nuggets	30.5853658537	52	30	63.4146341463	17995
47	2010	Utah Jazz	27.2317073171	55	27	67.0731707317	19378
48	2010	Portland Trail Blazers	24.7926829268	51	31	62.1951219512	20497
49	2010	Oklahoma City Thunder	26.9512195122	51	31	62.1951219512	18003
50	2010	Minnesota Timberwolves	23.487804878	17	65	20.7317073171	15101
51	2010	Los Angeles Lakers	24.2073170732	54	28	65.8536585366	18997
52	2010	Phoenix Suns	25.8170731707	54	28	65.8536585366	17648
53	2010	Los Angeles Clippers	22.7682926829	24	58	29.2682926829	16343
54	2010	Golden State Warriors	25.4268292683	32	50	39.0243902439	18027
55	2010	Sacramento Kings	24.012195122	29	53	35.3658536585	13254
56	2010	Dallas Mavericks	22.8048780488	49	33	59.756097561	19994
57	2010	San Antonio Spurs	24.012195122	55	27	67.0731707317	18089
58	2010	Houston Rockets	24.6585365854	40	42	48.7804878049	16528
59	2010	Memphis Grizzlies	26.8536585366	37	45	45.1219512195	13485
60	2011	Boston Celtics	23.1097560976	57	25	69.512195122	18624
61	2011	New York Knicks	25.4512195122	43	39	52.4390243902	19728
62	2011	Philadelphia 76ers	22.5731707317	45	37	54.8780487805	14751
63	2011	New Jersey Nets	22.9390243902	24	58	29.2682926829	14179
64	2011	Toronto Raptors	24.0975609756	24	58	29.2682926829	16566
65	2011	Chicago Bulls	24.487804878	61	21	74.3902439024	21791
66	2011	Indiana Pacers	24.8170731707	38	44	46.3414634146	13538
67	2011	Milwaukee Bucks	22.9390243902	38	44	46.3414634146	15412
68	2011	Detroit Pistons	22.6097560976	31	51	37.8048780488	16660
69	2011	Cleveland Cavaliers	25.3048780488	18	64	21.9512195122	20112
70	2011	Miami Heat	27.9024390244	61	21	74.3902439024	19778
71	2011	Orlando Magic	25.6219512195	56	26	68.2926829268	18972
72	2011	Atlanta Hawks	21.0731707317	39	43	47.5609756098	15648
73	2011	Charlotte Bobcats	24.3780487805	29	53	35.3658536585	15846
74	2011	New Orleans Hornets	23.1341463415	44	38	53.6585365854	15846
75	2011	Washington Wizards	24.3780487805	22	60	26.8292682927	16791
76	2011	Oklahoma City Thunder	29.2804878049	51	31	62.1951219512	18148
77	2011	Denver Nuggets	29.6219512195	54	28	65.8536585366	16901
78	2011	Portland Trail Blazers	22.3780487805	46	36	56.0975609756	20510
79	2011	Utah Jazz	25.1341463415	36	46	43.9024390244	19511
80	2011	Minnesota Timberwolves	24.1097560976	24	58	29.2682926829	15242
